year,total_gtco2
1975,23.111973
1976,23.922772
1977,24.978129
1978,25.588639
1979,25.364420
1980,25.411107
1981,24.716338
1982,24.261295
1983,24.741629
1984,25.882049
1985,26.932606
1986,27.381361
1987,27.604135
1988,28.075436
1989,28.181033
1990,28.561213
1991,28.925889
1992,28.488323
1993,28.483165
1994,29.643506
1995,29.794719
1996,30.775304
1997,32.399938
1998,31.087951
1999,31.399628
2000,31.657245
2001,31.153697
2002,32.359028
2003,34.973900
2004,35.053889
2005,35.530063
2006,36.627893
2007,37.092461
2008,38.000680
2009,38.047831
2010,39.835502
2011,40.872546
2012,41.636858
2013,41.595340
2014,41.875605
2015,41.916153
2016,40.769384
2017,41.282378
2018,41.616026
2019,41.973744
2020,39.674769
2021,41.523967
2022,42.313163
2023,42.839596
2024,43.184086
2025,42.200000
