sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times_optimal,decision_times_delayed,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth,baseline_num,dam_func,tip_on,d_unc,t_unc,no_free_lunch,period_len,emissions_time_step,damage_file_tag,u_optimal,u_delayed,utility_loss,m_opt_2025,m_opt_2030,m_opt_2035,m_opt_2040,m_opt_2045,m_opt_2060,m_opt_2100,m_opt_2150,m_opt_2200,m_opt_2250,m_delay_2025,m_delay_2030,m_delay_2035,m_delay_2040,m_delay_2045,m_delay_2060,m_delay_2100,m_delay_2150,m_delay_2200,m_delay_2250,T_opt_2025,T_opt_2030,T_opt_2035,T_opt_2040,T_opt_2045,T_opt_2060,T_opt_2100,T_opt_2150,T_opt_2200,T_opt_2250,T_delay_2025,T_delay_2030,T_delay_2035,T_delay_2040,T_delay_2045,T_delay_2060,T_delay_2100,T_delay_2150,T_delay_2200,T_delay_2250,conc_opt_2025,conc_opt_2030,conc_opt_2035,conc_opt_2040,conc_opt_2045,conc_opt_2060,conc_opt_2100,conc_opt_2150,conc_opt_2200,conc_opt_2250,conc_delay_2025,conc_delay_2030,conc_delay_2035,conc_delay_2040,conc_delay_2045,conc_delay_2060,conc_delay_2100,conc_delay_2150,conc_delay_2200,conc_delay_2250,dam_opt_2025,dam_opt_2030,dam_opt_2035,dam_opt_2040,dam_opt_2045,dam_opt_2060,dam_opt_2100,dam_opt_2150,dam_opt_2200,dam_opt_2250,dam_delay_2025,dam_delay_2030,dam_delay_2035,dam_delay_2040,dam_delay_2045,dam_delay_2060,dam_delay_2100,dam_delay_2150,dam_delay_2200,dam_delay_2250,price_opt_2025,price_opt_2030,price_opt_2035,price_opt_2040,price_opt_2045,price_opt_2060,price_opt_2100,price_opt_2150,price_opt_2200,price_opt_2250,price_delay_2025,price_delay_2030,price_delay_2035,price_delay_2040,price_delay_2045,price_delay_2060,price_delay_2100,price_delay_2150,price_delay_2200,price_delay_2250
low_ra,0,16,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,3.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.436521402510664,24.436407905867615,0.00011349664304916018,0.0,0.9891495667087004,0.975715849451929,0.9622821321951576,0.9488484149383862,0.9085472631680721,0.9067859102160698,0.8995567935487284,0.8994382677709702,nan,0.0,0.9908431212386142,0.9771881833526951,0.9635332454667761,0.949878307580857,0.9089134939230998,0.9079470901176718,0.9017443011718058,0.9009388012060611,nan,1.419600009918213,1.4208065605163576,1.4325684968630474,1.4443304332097373,1.4560923695564272,1.4913781785964966,1.5428498601913456,1.5734808504581452,1.5863208681344987,nan,1.419600009918213,1.4206182384490966,1.4323636547724405,1.4441090710957845,1.4558544874191284,1.4910907363891601,1.5413145208358765,1.5701295483112334,1.5838331401348114,nan,425.6,423.6844181233023,423.00278408847254,422.3211500536428,421.6395160188131,419.5946139143238,404.720942075107,384.6586182744584,365.306072853567,nan,425.6,423.6431456930696,422.9614800884415,422.27981448381337,421.59814887918526,419.5531520653009,404.5008333101573,384.2235620335581,365.08835038135425,nan,0.0,0.0005911643588843913,0.0013126429447130256,0.00203412153054166,0.0027556001163702945,0.004920035873856197,0.021224157325999325,0.023459250185892306,0.024812880832939227,nan,0.0,0.00059110555747111,0.0013124334509772848,0.0020337613444834594,0.0027550892379896346,0.0049190729185081584,0.02123248698537853,0.023453023645046606,0.02481142386434194,nan,276.90197287838646,203.65819016116103,184.74206658770504,165.82594301424905,146.90981944079303,90.16144872042503,24.70120610883704,6.630034731941036,1.2504507293900942,nan,278.1307871914469,203.55920853391763,184.64612107134968,165.73303360878174,146.81994614621377,90.08068375850992,25.153286749127652,6.524929455657227,1.2501236806397085,nan
high_ra,5,12,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,15.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.34833716056952,24.274338879736998,0.07399828083252302,0.0,0.9993042044035361,0.9885805566417564,0.9778569088799766,0.9671332611181969,0.9349623178328577,0.9314306971829145,0.924587627602224,0.9215300243930993,nan,0.0,1.1149141078137248e-06,0.12284087424911333,0.24568063358411885,0.36852039291912436,0.7370396709241409,0.8139379784109952,0.8229750398562328,0.829045664650022,nan,1.419600009918213,1.4196773719787599,1.4281721250216166,1.4366668780644736,1.4451616311073305,1.470645890235901,1.5102639436721803,1.535133149623871,1.549695038795471,nan,1.419600009918213,1.5307991695404053,1.5466640949249268,1.5625290203094482,1.5783939456939697,1.6259887218475342,1.665615577697754,1.6908055138587952,1.703024465441704,nan,425.6,423.43704856858216,422.23098303925866,421.02491750993516,419.8188519806116,416.2006553926411,400.5267153914343,380.4331651878876,361.87832049584256,nan,425.6,447.7808445891872,446.20225177181555,444.6236589544439,443.04506613707224,438.3092876849573,418.7264843363422,396.55041304701535,376.52747467661237,nan,0.0,0.0005908126012552897,0.0012997904614927593,0.0020087683217302286,0.002717746181967698,0.004844679762680107,0.02090930723288226,0.023059977678004134,0.024401347729097467,nan,0.0,0.0006325411109027539,0.0014674178437569976,0.0023022945766112413,0.003137171309465485,0.005641801508028217,0.0235553293479772,0.025941586804621365,0.02733705991935636,nan,284.3410726756704,216.68472661226372,196.100533283825,175.5163399553863,154.93214662694757,93.17956664163142,25.73126753293307,6.179787237798085,1.2512231484454177,nan,0.0,226.60102708910495,205.83094074246057,185.06085439581622,164.29076804917185,101.98050900923874,29.689407249259236,7.557439551925343,1.609855473343948,nan
high_ra,15,14,delay_frontier,same_grid,default,0|15|35|75|125|175|225,0|15|35|75|125|175|225,15.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.35780423802715,24.17305402329203,0.18475021473512143,0.0,0.332641380875325,0.66528276175065,0.9979241426259751,0.9921456447431074,0.9748101510945044,0.9531024454118677,0.9399250753289532,0.9351312262453062,nan,0.0,0.0,0.0,0.0,0.12220682745491561,0.48882730981966244,0.6670442436021612,0.6942908566976935,0.7112773060097064,nan,1.419600009918213,1.4198347822825115,1.4200695546468098,1.4203043270111084,1.4250709116458893,1.4393706655502319,1.4816090488433837,1.5116358959674836,1.5271456640958787,nan,1.419600009918213,1.5326981767018637,1.6457963434855143,1.758894510269165,1.7743714475631716,1.8208022594451907,1.8598419260978698,1.8879520630836488,1.8982721263170244,nan,425.6,423.1325814601046,420.6651629202092,418.19774438031374,416.45749400435113,411.23674287646327,397.2959808838185,378.3737273379909,359.96231270959987,nan,425.6,444.2341027370398,462.8682054740796,481.5023082111194,477.620572522885,465.97536545818184,440.71621181308535,416.0644386606977,394.22647710243075,nan,0.0,0.0006545116820691095,0.001309023364138219,0.0019635350462073285,0.0026577889656113915,0.0047405507238235806,0.02063372957035309,0.022778218882605592,0.024142663273531678,nan,0.0,0.0008681772515136875,0.001736354503027375,0.0026045317545410627,0.0036450989167366634,0.006766800403323465,0.02720872996824409,0.02998012946792637,0.03146901720473384,nan,283.31988539555755,246.4253614724042,209.53083754925086,172.6363136260975,152.1132272451426,90.543968102278,24.296811536103363,6.00882732085494,1.0345262148336443,nan,0.0,73.51640038594023,147.03280077188046,220.5492011578207,193.65759528473367,112.98277766547257,33.48007057498805,10.191928254978622,2.1367750443555558,nan
low_ra,5,17,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,3.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.436090714816135,24.384663516582588,0.051427198233547244,0.0,0.9971847526844009,0.9801097124499353,0.9630346722154697,0.9459596319810042,0.8947345112776074,0.9017786500662547,0.8955092186118379,0.8950674158510104,nan,0.0,1.1149141078137248e-06,0.11709291269302359,0.23418471047193937,0.35127650825085516,0.7025519015876025,0.7894746726860392,0.8000863755368395,0.807315469961327,nan,1.419600009918213,1.4199130535125732,1.4336307684580485,1.4473484834035237,1.461066198348999,1.5022193431854247,1.5494705772399906,1.57968181014061,1.593567284941673,nan,1.419600009918213,1.5307991695404053,1.5511754767100017,1.571551783879598,1.5919280910491942,1.6530570125579833,1.6979615354537962,1.7258713710308076,1.739050862789154,nan,425.6,423.4886577087992,423.14344201095247,422.7982263131057,422.45301061525896,421.4173635217187,405.35693051762104,385.2153562832359,365.9977046515893,nan,425.6,447.7808445891872,446.9487311111923,446.11661763319734,445.2845041552024,442.78816372121753,422.6782078778194,400.2353239339375,379.9603819993624,nan,0.0,0.0005908858573868347,0.0013213037956932155,0.002051721733999596,0.002782139672305977,0.004973393487225119,0.02136644366931136,0.023602434668182848,0.024974064780294104,nan,0.0,0.0006325411109027539,0.0014852680187401538,0.0023379949265775538,0.003190721834414954,0.005748902557927154,0.02390075476205711,0.026365913016535764,0.02776242844161441,nan,282.77428194826075,193.13760625785545,176.4723151529905,159.80702404812553,143.14173294326054,93.14585962866565,25.093523449312784,6.476574369391512,1.2766417232194875,nan,0.0,206.1184734262775,188.81168028279896,171.50488713932043,154.19809399584193,102.27771456540634,28.957767230519035,7.954338086741749,1.9237057386437666,nan
high_ra,0,11,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,15.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.348010292750665,24.348472556596047,-0.0004622638453817274,0.0,0.9909367740236785,0.9818961728318016,0.9728555716399248,0.9638149704480479,0.9366931668724172,0.9324015350948323,0.9227487827094438,0.9208327230402208,nan,0.0,0.999452487979888,0.9891049371671522,0.9787573863544164,0.9684098355416808,0.9373671831034736,0.9355033828516053,0.9248456853634116,0.9222993577071732,nan,1.419600009918213,1.4206078243255615,1.428721087773641,1.4368343512217205,1.4449476146698,1.4692874050140383,1.5089802789688112,1.5379502940177918,1.5508510917425156,nan,1.419600009918213,1.4196608829498292,1.4278438011805217,1.4360267194112142,1.4442096376419067,1.4687583923339844,1.504878942966461,1.5347378003597258,1.5484195643663405,nan,425.6,423.64087500828947,422.35835680258026,421.075838596871,419.7933203911618,415.9457657740341,400.37951281729863,380.9181374127252,361.96596511553975,nan,425.6,423.4334214904347,422.17599699230163,420.91857249416853,419.6611479960354,415.8888745016362,399.78359043701425,380.60275622793654,361.7771616220846,nan,0.0,0.0005911022993911806,0.0012994802005895012,0.002007858101787822,0.002716236002986143,0.004841369706581105,0.020900447491244235,0.023071674861016578,0.024418223547337213,nan,0.0,0.0005908074910174955,0.0012983643602804025,0.002005921229543309,0.0027134780988062163,0.004836148706594937,0.0208445484636954,0.023029604362878178,0.024377911865040895,nan,278.1985356468626,218.86239120928886,197.89173140170325,176.92107159411768,155.95041178653207,93.03843236377526,24.894387273703185,6.381480927313687,1.195205037045586,nan,284.45148140789274,218.38081666021225,197.73920770481934,177.0975987494264,156.45598979403348,94.53116292785471,24.246732689793646,6.211360460863695,1.12425497876013,nan
high_ra,10,13,delay_frontier,same_grid,default,0|10|35|75|125|175|225,0|10|35|75|125|175|225,15.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.356196584169084,24.22849798659824,0.1276985975708449,0.0,0.49853122479261036,0.9970624495852207,0.9889719547269031,0.9808814598685854,0.9566099752936326,0.9428047327997526,0.930865650666141,0.9252625905048222,nan,0.0,0.0,0.0,0.12335313682636273,0.24670627365272546,0.6167656841318137,0.7459248708277373,0.7653303518716736,0.7762423251581162,nan,1.419600009918213,1.419930100440979,1.4202601909637451,1.426939227104187,1.4336182632446288,1.4536553716659546,1.4952249264717101,1.5255151021480562,1.5435068333148956,nan,1.419600009918213,1.5319710063934326,1.6443420028686524,1.659551148414612,1.6747602939605715,1.7203877305984498,1.755544106960297,1.779118242263794,1.790566897392273,nan,425.6,423.22888566166625,420.8577713233325,419.3962675395912,417.9347637558498,413.55025240462584,398.8633099911207,379.7666683882875,361.6029969631197,nan,425.6,445.57376641308576,465.5475328261715,462.7084828429762,459.86943285978083,451.35228291019484,428.62573500152286,405.0461531505107,384.362030292085,nan,0.0,0.0006286060356766677,0.0012572120713533353,0.001963737140007845,0.002670262208662355,0.004789837414625884,0.020757434600291343,0.022920745908530975,0.0242879783852539,nan,0.0,0.0007490528371227405,0.001498105674245481,0.0024339368057771336,0.0033697679373087867,0.006177261331903745,0.0252996526895218,0.027825414782155517,0.029270482218094897,nan,282.6837144738781,237.94395576648316,193.20419705908822,172.858279179769,152.51236130044978,91.47460766249213,24.27845856625941,5.743263058780666,1.1254375731337447,nan,0.0,111.37120609158328,222.74241218316655,200.0043563467656,177.26630051036466,109.05213300116185,31.957065110171058,8.523425724004259,2.050338817965016,nan
high_ra,20,15,delay_frontier,same_grid,default,0|20|35|75|125|175|225,0|20|35|75|125|175|225,15.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.35694694884543,24.113931551757563,0.24301539708786635,0.0,0.24711074888220216,0.4942214977644043,0.7413322466466065,0.9884429955288087,0.9869979662685695,0.9642276768564754,0.9490484909524202,0.9425569727085006,nan,0.0,0.0,0.0,0.0,0.0,0.3482683883285297,0.5867177204889353,0.6264616623846659,0.6458892883764797,nan,1.419600009918213,1.4209112596511841,1.4222225093841554,1.4235337591171264,1.4248450088500977,1.429804859161377,1.46689900636673,1.4976586544513704,1.5148345506191254,nan,1.419600009918213,1.5330595302581786,1.6465190505981444,1.7599785709381104,1.8734380912780761,1.9311222314834595,1.9660515427589416,1.991867643594742,2.006678642630577,nan,425.6,423.2935533834956,420.9871067669911,418.6806601504866,416.37421353398213,409.4267422627293,395.37992378996734,376.9558682195042,358.90766360500896,nan,425.6,443.2788010060891,460.9576020121782,478.6364030182673,496.3152040243564,483.26470382449776,453.07706508977566,426.31075134700893,404.3856697163941,nan,0.0,0.0006729169842368187,0.0013458339684736375,0.0020187509527104562,0.002691667936947275,0.004712932333427852,0.020499996866986246,0.022651164397482985,0.024024000029682996,nan,0.0,0.0009870426615577604,0.001974085323115521,0.0029611279846732813,0.003948170646231042,0.007421142237824784,0.029083497992101887,0.032041135820066666,0.03367319480002794,nan,276.39106183027803,247.5551428027398,218.71922377520156,189.88330474766332,161.04738572012508,91.33202783538279,23.37014365739948,5.65018198118055,0.9795436154729245,nan,0.0,52.30302130491347,104.60604260982694,156.90906391474041,209.2120852196539,123.51734219453432,37.15569486231646,10.627913784364285,2.573793025195868,nan
no_endogenous_learning,0,21,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.338332118960675,24.338244082307188,8.803665348722234e-05,0.0,0.9943718243901464,0.9817073973594437,0.969042970328741,0.9563785432980383,0.9183852622059301,0.8915330236488539,0.8649907904646417,0.853796925220186,nan,0.0,0.9993186982869389,0.9857960414411503,0.9722733845953617,0.9587507277495733,0.9181827572122075,0.8921812881469726,0.8673516280135529,0.8548390751472177,nan,1.419600009918213,1.4202258491516113,1.430797651608785,1.4413694540659587,1.4519412565231322,1.4836566638946533,1.5630175852775576,1.626436606645584,1.66198945581913,nan,1.419600009918213,1.419675760269165,1.4303657341003417,1.4410557079315185,1.4517456817626953,1.4838156032562255,1.5621604347229006,1.6228197598457337,1.6602616798877716,nan,425.6,423.5571872808791,422.6869481855626,421.8167090902461,420.94646999492954,418.33575270898007,407.98514687501756,391.7882691100158,374.1582171130758,nan,425.6,423.4366744772021,422.59386909618996,421.75106371517785,420.9082583341658,418.37984219112946,407.8516863665366,391.28142610097893,374.0500567108494,nan,0.0,0.000590983203008124,0.0013076999540385442,0.0020244167050689644,0.0027411334560993846,0.004891283709190645,0.021465608789268398,0.024129034112898178,0.0256699017293689,nan,0.0,0.0005908121154964451,0.0013076198688983175,0.00202442762230019,0.002741235375702062,0.00489165863590768,0.021488501132520255,0.02412846305797746,0.025699362843508683,nan,280.70588371804223,207.81630131373282,193.18252784049372,178.54875436725462,163.91498089401549,120.01366047429816,45.87576231020325,24.207700316761095,9.859814190717616,nan,284.35245829028554,207.00479379301765,192.3712911769935,177.73778856096936,163.10428594494525,119.20377809687282,46.99927207836767,22.992492181542517,9.877294528882718,nan
no_endogenous_learning,20,25,delay_frontier,same_grid,default,0|20|35|75|125|175|225,0|20|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.339140060790143,24.155550173914598,0.183589886875545,0.0,0.23800169613867514,0.4760033922773503,0.7140050884160254,0.9520067845547006,0.9458829761741281,0.9057357475143624,0.8760719794861724,0.863713929684159,nan,0.0,0.0,0.0,0.0,0.0,0.3426544033602005,0.5710891663445419,0.5962230808904139,0.609742358421814,nan,1.419600009918213,1.4250452947616576,1.4304905796051026,1.4359358644485476,1.4413811492919923,1.4620746326446534,1.5442384099960327,1.6094600200653075,1.6455480962991715,nan,1.419600009918213,1.5330595302581786,1.6465190505981444,1.7599785709381104,1.8734380912780761,1.9355284595489501,1.9867159843444826,2.0381937098503116,2.0666064840555194,nan,425.6,424.03025531762887,422.4605106352578,420.8907659528867,419.32102127051553,414.70954142320466,405.89436792409407,390.23246270874785,372.749881623854,nan,425.6,443.2788010060891,460.95760201217814,478.6364030182672,496.31520402435626,484.0829918950735,456.0307961852218,432.3352220763487,411.13062310089765,nan,0.0,0.0006830037773646513,0.0013660075547293027,0.002049011332093954,0.0027320151094586053,0.004845699936880963,0.021434042805621556,0.024110320339640758,0.025659196529418917,nan,0.0,0.0009870426615577604,0.001974085323115521,0.0029611279846732813,0.003948170646231042,0.00743908863482305,0.029329158862621642,0.03265832859823561,0.034485168553217156,nan,251.16148698219266,233.24968717397954,215.33788736576645,197.42608755755333,179.5142877493402,116.70315791015865,44.463591170799816,23.72685517161552,10.8117485469329,nan,0.0,50.20139546713516,100.40279093427031,150.60418640140546,200.80558186854063,134.82167870243634,52.345890753921715,26.909347152104537,12.596181381547872,nan
no_endogenous_learning,10,23,delay_frontier,same_grid,default,0|10|35|75|125|175|225,0|10|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.340362577368072,24.242254533558107,0.0981080438099653,0.0,0.48846757650623407,0.9769351530124681,0.9682238283603901,0.9595125037083121,0.9333785297520779,0.8988984616511635,0.8712020407920293,0.8580997646109922,nan,0.0,0.0,0.0,0.11922492562632901,0.23844985125265802,0.596124628131645,0.7121723368601498,0.7165898148784033,0.7195850467280998,nan,1.419600009918213,1.4221918249130248,1.4247836399078369,1.4342047023773192,1.4436257648468016,1.471888952255249,1.5532788300514224,1.6169208562374116,1.6548557966947557,nan,1.419600009918213,1.5319710063934326,1.6443420028686524,1.6627912425994873,1.6812404823303222,1.7365882015228271,1.8001725006103517,1.8537896466255188,1.8844987583160402,nan,425.6,423.67994873282225,421.7598974656444,420.7094850615895,419.6590726575345,416.50783544536966,406.94667491978225,390.8908280393094,373.6661352071561,nan,425.6,445.57376641308576,465.5475328261715,463.26185520020243,460.97617757423336,454.1191446963262,434.7817286028044,414.2288368639529,394.6705125440428,nan,0.0,0.0006307663777726754,0.0012615327555453508,0.0019813762278625222,0.0027012197001796932,0.004860750117131207,0.021439088849287136,0.024091676605864497,0.025650962694650566,nan,0.0,0.0007490528371227405,0.001498105674245481,0.0024475491183061715,0.003396992562366862,0.0062453228945489325,0.02580526421900271,0.028769106014841502,0.03044504311242801,nan,268.1871385829745,232.79220349182665,197.3972684006788,181.54585527363733,165.69444214659586,118.14020276547143,45.62969988481841,23.20523594145557,10.567929991930441,nan,0.0,103.1893704163384,206.3787408326768,190.7906514722278,175.20256211177878,128.43829403043173,50.87500950909155,25.687518932967265,12.070526885274774,nan
