sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,0,0,2025,1.0,147.51705491197976,0.7569486066034274,0.0,425.6,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,1,1,2043,0.5,181.95104870725893,0.9902370908745515,0.7569485584462682,434.48312132038774,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,2,1,2043,0.5,96.08713316096545,0.7548622397842609,0.7569485584462682,434.48312132038774,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,3,2,2060,0.25,112.4273791282466,0.9989799532702521,0.8655215073508807,423.1946613960651,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,4,2,2060,0.25,69.22335560409998,0.8178655394910322,0.8655215073508807,423.1946613960651,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,5,2,2060,0.25,83.60906928214956,0.868373885580629,0.7559776788823281,438.58351179512846,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,6,2,2060,0.25,30.97478074212952,0.5315840001920634,0.7559776788823281,438.58351179512846,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,7,3,2100,0.125,33.884753302478885,0.9968595019307693,0.9196904876472511,400.92352449359447,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,8,3,2100,0.125,28.0918166371676,0.925672840126306,0.9196904876472511,400.92352449359447,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,9,3,2100,0.125,33.41240846621134,0.9617465687961593,0.8475163682109269,415.02803629149867,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
run0_params,18,19,delay_frontier,same_grid,default,0|18|35|75|125|175|225,optimal,10,3,2100,0.125,36.24711167940513,0.9735222246663361,0.8007587177981484,421.87713683198655,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
