sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,0,0,2025,1.0,213.32320154119267,0.8907126673050901,0.0,425.6,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,1,1,2040,0.5,197.04566009786438,0.9979754098357022,0.8907126067714135,424.998847251593,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,2,1,2040,0.5,122.30258332197869,0.8198260763010666,0.8907126067714135,424.998847251593,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,3,2,2060,0.25,108.09010775128957,0.9977886846953784,0.9437440369229598,414.17382185524417,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,4,2,2060,0.25,85.01564870351935,0.9068487387986528,0.9437440369229598,414.17382185524417,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,5,2,2060,0.25,102.23433970434138,0.9609691132660172,0.855665895749216,426.43565881497176,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,6,2,2060,0.25,42.90193862672305,0.6498191175704489,0.855665895749216,426.43565881497176,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,7,3,2100,0.125,32.3134174576769,0.9977388549417961,0.9657153682820079,393.90840354786525,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,8,3,2100,0.125,32.153313622434005,0.995835124025123,0.9657153682820079,393.90840354786525,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,9,3,2100,0.125,33.48984507007899,0.997613165225522,0.932351042897076,400.49939345544044,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,10,3,2100,0.125,33.33991829174541,0.9795783774853684,0.8928834906892125,406.17039664872686,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
mean_params,15,3,mean_parameter_vector,same_grid,default,0|15|35|75|125|175|225,optimal,11,3,2100,0.125,16.914433099671434,0.7459570489015449,0.932351042897076,400.49939345544044,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
