sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,consumption,utility,marginal_utility,damage,climate_damage,ra,eis,pref,tech_chg,tech_scale,bs_premium,backstop_smoothing_width,backstop_smoothing_mode,cost_formulation,growth
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,0,0,2025,1.0,204.09310913665865,0.6274120832560213,0.0,425.6,0.9752112688009675,7.671869091150718,0.24486863635323472,0.0,0.0,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,1,1,2030,0.5,267.7421087945362,0.7473057202920123,0.6274120832560224,432.49661320158697,1.0374525646414718,8.075945541240158,0.24201775601576525,0.00030055166774595914,0.0002916104574790492,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,2,1,2030,0.5,152.83139994457434,0.5582032688254519,0.6274120832560224,432.49661320158697,1.0587797488247703,8.204289552911797,0.24078884505153053,0.0001445231472846518,0.00013558193701774187,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,3,2,2035,0.25,346.83237676958737,0.8901168902566586,0.6879839956473103,434.4381568685936,1.098265776605114,8.52710101587621,0.24131836146048158,0.0006850712446460884,0.000676957215146063,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,4,2,2035,0.25,193.73138164934355,0.6787558305629571,0.6879839956473103,434.4381568685936,1.1312820715736944,8.60224220483342,0.23579319210116875,0.00034752466026463907,0.00033941063076461367,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,5,2,2035,0.25,206.72153109437778,0.6986810995961992,0.592446839494711,439.1507870801518,1.1285956724799333,8.68138309538723,0.23883484167347896,0.0004651643430820283,0.00045875366664822263,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,6,2,2035,0.25,104.32643776987604,0.4791413775204152,0.592446839494711,439.1507870801518,1.1483145582508019,8.716703801040016,0.235341575957832,0.00020059858254236655,0.0001941879061085609,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,7,3,2040,0.125,401.3264950917473,1.0,0.7562280914482018,432.65502713719826,1.1671010373949415,9.037546177893164,0.24060824084216167,0.0010578998477426022,0.001049029177730066,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,8,3,2040,0.125,244.05310982436663,0.8105733053538686,0.7562280914482018,432.65502713719826,1.205475679532872,9.045997130167173,0.23235413586068177,0.0005844476918073432,0.000575577021794807,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,9,3,2040,0.125,255.89514954753406,0.824008766311497,0.684868383102899,437.96924702026143,1.2026375884446776,9.114018930729177,0.2349107044599168,0.0007715690419098956,0.0007647682340631334,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,10,3,2040,0.125,259.16563357412593,0.8254900465281916,0.628313644042849,441.31908219160687,1.2017953758504405,9.11668453029058,0.23517002697478095,0.0009324560002169673,0.0009267039825241852,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,11,3,2040,0.125,130.03135038767752,0.5883158099790791,0.684868383102899,437.96924702026143,1.2309677294301562,9.202224417869772,0.23137425282306814,0.0003424673302498653,0.00033566652240310307,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,12,3,2040,0.125,132.07711722632345,0.5905496546031997,0.628313644042849,441.31908219160687,1.2305208181852543,9.202998370636932,0.2314892549061952,0.00042134901113454983,0.0004155969934417678,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,13,3,2040,0.125,138.91806197317788,0.6032653814195363,0.5541926561927693,446.83893697407257,1.22907273729965,9.223110688055684,0.23235523117102558,0.0005327848194851531,0.0005284200763350763,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,14,3,2040,0.125,67.62527937938225,0.39160262534054036,0.5541926561927693,446.83893697407257,1.2428388677152666,9.249279323085862,0.23022099991594241,0.000226136732065154,0.0002217719889150772,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,15,4,2060,0.0625,220.70211986217456,1.0,0.8946183935971981,419.06104376852625,1.621074498636006,11.375045827277587,0.21565719388519636,0.001323878701755398,0.0013063745015269603,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,16,4,2060,0.0625,206.499530695184,0.9740097105459415,0.8946183935971981,419.06104376852625,1.6266051359507185,11.396115005691705,0.2152848147526877,0.0008162318938280751,0.0007987276935996373,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
prefs_ra7_eis0p9_prtp0p005,15,3,delay_frontier,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,17,4,2060,0.0625,218.66608629063631,0.9769238953565612,0.7870800900129136,434.0673748260423,1.6216771828446952,11.348455196058424,0.21500830669115512,0.001762421953187269,0.0017541560950745836,7.0,0.9,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
