sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times_optimal,decision_times_delayed,ra,eis,pref,tech_chg,tech_scale,bs_premium,backstop_smoothing_width,backstop_smoothing_mode,cost_formulation,growth,baseline_num,dam_func,tip_on,d_unc,t_unc,no_free_lunch,period_len,emissions_time_step,damage_file_tag,u_optimal,u_delayed,utility_loss,m_opt_2025,m_opt_2030,m_opt_2035,m_opt_2040,m_opt_2060,m_opt_2100,m_opt_2150,m_opt_2200,m_opt_2250,m_delay_2025,m_delay_2030,m_delay_2035,m_delay_2040,m_delay_2060,m_delay_2100,m_delay_2150,m_delay_2200,m_delay_2250,T_opt_2025,T_opt_2030,T_opt_2035,T_opt_2040,T_opt_2060,T_opt_2100,T_opt_2150,T_opt_2200,T_opt_2250,T_delay_2025,T_delay_2030,T_delay_2035,T_delay_2040,T_delay_2060,T_delay_2100,T_delay_2150,T_delay_2200,T_delay_2250,conc_opt_2025,conc_opt_2030,conc_opt_2035,conc_opt_2040,conc_opt_2060,conc_opt_2100,conc_opt_2150,conc_opt_2200,conc_opt_2250,conc_delay_2025,conc_delay_2030,conc_delay_2035,conc_delay_2040,conc_delay_2060,conc_delay_2100,conc_delay_2150,conc_delay_2200,conc_delay_2250,dam_opt_2025,dam_opt_2030,dam_opt_2035,dam_opt_2040,dam_opt_2060,dam_opt_2100,dam_opt_2150,dam_opt_2200,dam_opt_2250,dam_delay_2025,dam_delay_2030,dam_delay_2035,dam_delay_2040,dam_delay_2060,dam_delay_2100,dam_delay_2150,dam_delay_2200,dam_delay_2250,price_opt_2025,price_opt_2030,price_opt_2035,price_opt_2040,price_opt_2060,price_opt_2100,price_opt_2150,price_opt_2200,price_opt_2250,price_delay_2025,price_delay_2030,price_delay_2035,price_delay_2040,price_delay_2060,price_delay_2100,price_delay_2150,price_delay_2200,price_delay_2250
pref_grid_001,5,4,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.55,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,4.147878625868086,4.146018523820577,0.0018601020475088603,0.0,0.30349860757958635,0.3189132842246989,0.33490202740169567,0.3749795881328418,0.4020353643659564,0.40031990633444803,0.4123358335535122,nan,0.0,1.1102230246251565e-16,0.17205465374975543,0.23899498917836431,0.3350953375863615,0.37826357560442436,0.3795300346391383,0.3927670663038531,nan,1.4196,1.4970504092676093,1.5726687388460736,1.6452640968336367,1.9101574640243466,2.2102427387108188,2.338321009351078,2.3938858867406054,nan,1.4196,1.5307992167000002,1.6056740300003318,1.6778048292555174,1.941461268557936,2.24167435029859,2.3701714778090928,2.4263288615565477,nan,425.6,440.3873893133194,451.1839222063615,460.0499139994077,486.1071913597593,490.669656172093,468.30577508992326,444.937173327687,nan,425.6,447.78084386976184,457.06046750297924,465.25625535835957,490.21047047002713,494.08085912722015,471.38733382064225,447.8823444310136,nan,0.0,0.0004233535498266318,0.0009107111755990674,0.001453818297187051,0.004089759089408054,0.019998244379650643,0.023524950556001237,0.024673172568037055,nan,0.0,0.0006332068992394159,0.0011622553029870743,0.0017432283190160496,0.004503644926395638,0.02113015291274343,0.02473949281458958,0.025932778365218404,nan,63.83381199274106,69.25279733370908,73.53062347917046,79.61661794236184,61.968816426789346,21.328325877163635,13.512822191611352,7.0074843449177475,nan,0.0,71.18991639175957,75.52355494598878,81.55438585661251,63.043255845074654,21.64314051664278,13.812115021533398,7.110462039423092,nan
pref_grid_014,10,44,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,15.0,0.55,0.024,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,1.5715014370748208,1.5711361584526633,0.0003652786221575166,0.0,0.11787412966370059,0.1284794144375283,0.13947922726527817,0.17377620887867126,0.20444809160123156,0.2025532558955449,0.20724751757767204,nan,0.0,1.1102230246251565e-16,0.0,0.05495134966788301,0.1376334690080006,0.18325641589660108,0.18408024525428907,0.18992316207518084,nan,1.4196,1.5176917058122024,1.6154672131177645,1.7115699818466399,2.068075217758496,2.47149722294542,2.641303180389329,2.733900921175845,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7402498274350446,2.096442436616008,2.4995173490841753,2.6696041748051162,2.7626228954371284,nan,425.6,444.90934133471234,459.74111115585106,472.5115362241584,511.60235787734416,524.5932555772055,501.6635634230789,479.5065884830672,nan,425.6,447.78084386976184,465.54753150983714,477.4100320688188,515.4466081054749,527.6628954675119,504.4130003103479,482.1178460500994,nan,0.0,0.0005497421836550125,0.0012501345662491727,0.002093462919506843,0.006536142691483346,0.031094314438555485,0.03725605706304122,0.040508993837864056,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002390430241083711,0.007009063999488391,0.032247875531175835,0.038495504607630265,0.04181864754828994,nan,19.70058202236916,22.27285207498719,24.683166254012203,29.977765977296574,28.864872162905485,9.458350426015668,5.9223045082418375,3.236518771535363,nan,0.0,0.0,25.261821401923257,30.517486877121407,29.388175229175673,9.585013608863482,6.001297269109735,2.9427944393699015,nan
pref_grid_002,10,8,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.55,0.024,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,1.5718978127440844,1.5715652359706889,0.00033257677339548763,0.0,0.11287264396701746,0.12389153890606958,0.1352847624515206,0.17034553909384098,0.2012300160149702,0.19958389989400616,0.20440502552316772,nan,0.0,1.1102230246251565e-16,0.0,0.053865903519295544,0.13572497836315384,0.18094368055997295,0.1818754031100368,0.18777617917038308,nan,1.4196,1.5182478671040098,1.6164983010913183,1.7129931407689252,2.070767834891629,2.475752237277835,2.6458522887750706,2.738613476492298,nan,1.4196,1.5307992167000002,1.6443419239000001,1.740618113364147,2.097940346625144,2.5025753014972407,2.672982033802979,2.7661823691342677,nan,425.6,445.0311812914358,459.9448823977974,472.7724433043939,512.0244212529584,525.1385139818974,502.1470284242706,479.9616034037431,nan,425.6,447.78084386976184,465.54753150983714,477.4908661927043,515.7005827982741,528.0748201429187,504.78373768407164,482.4702060220596,nan,0.0,0.0005532268947891069,0.0012583541137651654,0.0021076314068966054,0.006582524126538553,0.031297327825012725,0.03748975153236363,0.04076203348237442,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.0023947021812770622,0.007037522900905137,0.03240924057031386,0.038684693629792495,0.04202299697939271,nan,18.75207133462024,21.503048021048702,24.058734237481794,29.448390245654945,28.381543775930243,9.387400614633762,5.900983754343878,3.1386172089388977,nan,0.0,0.0,24.65013459074741,30.014562593263072,28.882842784985638,9.497670067501526,5.972593405159062,3.2839664911824085,nan
pref_grid_002,5,7,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.55,0.024,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,1.5718978127440844,1.5717506855822667,0.00014712716181763952,0.0,0.11287264396701746,0.12389153890606958,0.1352847624515206,0.17034553909384098,0.2012300160149702,0.19958389989400616,0.20440502552316772,nan,0.0,1.1102230246251565e-16,0.06888718274209837,0.0992037411007986,0.1551884795929928,0.19243454301723956,0.19189368812711177,0.19729179589084558,nan,1.4196,1.5182478671040098,1.6164983010913183,1.7129931407689252,2.070767834891629,2.475752237277835,2.6458522887750706,2.738613476492298,nan,1.4196,1.5307992167000002,1.62886008591849,1.7252352335603633,2.0826641002449318,2.487381816093661,2.657633835621855,2.750406469217757,nan,425.6,445.0311812914358,459.9448823977974,472.7724433043939,512.0244212529584,525.1385139818974,502.1470284242706,479.9616034037431,nan,425.6,447.78084386976184,462.1494837590646,474.7359526738612,513.5904500381895,526.3895320703266,503.282986358782,481.0184391760563,nan,0.0,0.0005532268947891069,0.0012583541137651654,0.0021076314068966054,0.006582524126538553,0.031297327825012725,0.03748975153236363,0.04076203348237442,nan,0.0,0.0006332068992394159,0.0013600117330730336,0.002229090763147066,0.0067748752886235015,0.03175484236564083,0.03798721652524017,0.04127536779855631,nan,18.75207133462024,21.503048021048702,24.058734237481794,29.448390245654945,28.381543775930243,9.387400614633762,5.900983754343878,3.1386172089388977,nan,0.0,21.811035853330257,24.35664346445695,29.763045288465378,28.624363321124,9.42168024509547,5.982958140983635,3.1982643460633673,nan
pref_grid_011,15,36,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.9,0.024,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,1.7220662328876175,1.7207584765351887,0.0013077563524288571,0.0,0.18401034729271737,0.19705450664393032,0.2105152221679394,0.24847645125869192,0.2779224219805656,0.275100919995769,0.28111237343264345,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.15851936986184526,0.22305903818522815,0.22670609792801932,0.23517215669747593,nan,1.4196,1.510337410216355,1.600055514963678,1.6874678581102476,2.009445514202934,2.37434775567891,2.5301588154316472,2.6114406952600957,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,2.0800497966922684,2.446889396829467,2.6043005790938,2.68760478242833,nan,425.6,443.29821328547774,456.65648787111445,467.97321396456385,502.11514233242474,511.96992437728585,489.4812763397017,467.17518136784895,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,511.9071910007727,520.1186456966484,496.80728797929237,474.21429672012516,nan,0.0,0.0005036799536557,0.0011235733583764376,0.001850307530051743,0.005560874945376701,0.026834256375184787,0.032046236968350586,0.03454400070492435,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.006710485068425051,0.0298362846234431,0.03529048349601632,0.03798244103971036,nan,33.32183487632399,36.860323844486445,40.02672250760487,45.978178542175954,39.760407259039894,13.048195071411344,7.984361485663715,4.198429372103691,nan,0.0,0.0,0.0,47.917346114094705,40.760260343815574,13.297583789713865,8.157721388269172,4.2128996091755795,nan
pref_grid_001,15,6,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.55,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,4.147878625868086,4.140925044609291,0.006953581258795083,0.0,0.30349860757958635,0.3189132842246989,0.33490202740169567,0.3749795881328418,0.4020353643659564,0.40031990633444803,0.4123358335535122,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.23343050367906026,0.31652958430339795,0.3251484920759842,0.34155130829771185,nan,1.4196,1.4970504092676093,1.5726687388460736,1.6452640968336367,1.9101574640243466,2.2102427387108188,2.338321009351078,2.3938858867406054,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,2.02125457155269,2.3233004683750194,2.4534850081420734,2.511239245842585,nan,425.6,440.3873893133194,451.1839222063615,460.0499139994077,486.1071913597593,490.669656172093,468.30577508992326,444.937173327687,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,501.4537875483559,503.311847279598,479.64468447828483,455.7120597742823,nan,0.0,0.0004233535498266318,0.0009107111755990674,0.001453818297187051,0.004089759089408054,0.019998244379650643,0.023524950556001237,0.024673172568037055,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.005711669927869789,0.024425162922202565,0.028265574749898503,0.02957820196133755,nan,63.83381199274106,69.25279733370908,73.53062347917046,79.61661794236184,61.968816426789346,21.328325877163635,13.512822191611352,7.0074843449177475,nan,0.0,0.0,0.0,85.64968892568315,65.21051722142674,22.40025680283148,14.751192520959414,7.824812667953788,nan
pref_grid_000,15,3,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.55,0.001,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,18.836846125247536,18.783693854718006,0.0531522705295302,0.0,0.42699268609554886,0.44295034223118956,0.4602395142547506,0.5005485124310016,0.5281312362703612,0.5300041372238882,0.5448596589367034,nan,0.0,1.1102230246251565e-16,0.0,0.0,0.3059464858025329,0.41197699147527933,0.42844362582272033,0.4503980642489922,nan,1.4196,1.483317964469546,1.544792411794799,1.6027377744940927,1.811602645822565,2.0435158462468266,2.1396423659240504,2.174175208261664,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7588945192,1.964339220283672,2.1970976882905338,2.2952349502540716,2.330782678646927,nan,425.6,437.3789805934933,445.6219583574414,452.08353238012,470.2456354738818,468.9594210092043,446.21016275430037,422.66706469039576,nan,425.6,447.78084386976184,465.54753150983714,481.5023071324044,491.3346132780192,486.0583545420619,461.4610675483308,436.90938375729013,nan,0.0,0.0003440461090130079,0.000709082572336319,0.00109366146586661,0.0028393282231621896,0.013666010202601135,0.015601428560538201,0.0160659167357749,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002605083858391802,0.004843274847144947,0.01939555528285222,0.021640987589462937,0.02216837763802124,nan,105.50819897635988,112.72752226846163,117.89835301782999,123.25182344785192,91.37961293074974,32.70800432423967,16.87004249626178,7.229257771861084,nan,0.0,0.0,0.0,135.11340560217747,98.71677652841952,35.74882372163141,20.049716128745743,8.830423058315615,nan
pref_grid_000,10,2,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,3.0,0.55,0.001,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,18.836846125247536,18.804750248187915,0.03209587705962136,0.0,0.42699268609554886,0.44295034223118956,0.4602395142547506,0.5005485124310016,0.5281312362703612,0.5300041372238882,0.5448596589367034,nan,0.0,1.1102230246251565e-16,0.0,0.1696263844547124,0.37732029705960296,0.4544519330024702,0.4655616266555937,0.48483647213819736,nan,1.4196,1.483317964469546,1.544792411794799,1.6027377744940927,1.811602645822565,2.0435158462468266,2.1396423659240504,2.174175208261664,nan,1.4196,1.5307992167000002,1.6443419239000001,1.701341216642804,1.9083203204473858,2.1409363334304237,2.238369485566344,2.2736873907528943,nan,425.6,437.3789805934933,445.6219583574414,452.08353238012,470.2456354738818,468.9594210092043,446.21016275430037,422.66706469039576,nan,425.6,447.78084386976184,465.54753150983714,468.8700819472984,483.30383513201883,479.6933167511458,455.83821531182707,431.693142281327,nan,0.0,0.0003440461090130079,0.000709082572336319,0.00109366146586661,0.0028393282231621896,0.013666010202601135,0.015601428560538201,0.0160659167357749,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.0019740807542551076,0.004033842521364726,0.017148923738891677,0.019276771217616923,0.019783302535102902,nan,105.50819897635988,112.72752226846163,117.89835301782999,123.25182344785192,91.37961293074974,32.70800432423967,16.87004249626178,7.229257771861084,nan,0.0,0.0,125.25370401295734,130.2761068553181,95.80465124070385,34.58158576850737,18.759480442072995,8.16409079976901,nan
pref_grid_007,10,23,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.55,0.005,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,4.1468056139023455,4.142364843590748,0.004440770311597397,0.0,0.3104012307449412,0.32505113837597954,0.3403674460193835,0.37910066770093165,0.4056523383805248,0.40374663213382433,0.4155948116409607,nan,0.0,1.1102230246251565e-16,0.0,0.12748298669811312,0.28922393769102284,0.3517293130541199,0.3564458939928751,0.37107419590559254,nan,1.4196,1.4962828429784467,1.5712893056954973,1.6434097102515213,1.906922967512584,2.205460291605578,2.333071201964728,2.388482841026592,nan,1.4196,1.5307992167000002,1.6443419239000001,1.7156402405220839,1.977464184905389,2.276758568933359,2.405536808788989,2.4622933778205196,nan,425.6,440.21923621666997,450.91226115009044,459.71216841828885,485.60639282815475,490.0655473388765,467.7451981093015,444.41707115322697,nan,425.6,447.78084386976184,465.54753150983714,472.00853763176167,495.11789832032633,497.92797074403745,474.82500757301835,451.1599537344268,nan,0.0,0.0004188864502826309,0.0009008945322945128,0.0014386860395917027,0.004049889820723274,0.019840244107006494,0.023338041916174234,0.024474456340076556,nan,0.0,0.0006332068992394159,0.0014976455049262696,0.002121850107327727,0.005028914544274904,0.02251246374225001,0.026194905994609215,0.02743233433063806,nan,65.8649463292269,70.77063327953687,74.6660699920555,80.41600062398564,62.486118074833186,21.448677034430727,13.51270069756553,6.82822647684201,nan,0.0,0.0,78.7827015123947,84.25577918273783,64.69688668722968,22.173492730709242,14.2563923946876,7.382426700825,nan
pref_grid_008,5,25,preference_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,0|5|10|15|35|75|125|175|225,7.0,0.55,0.024,1.5,1.5,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015,2,0,1,1,1,True,5.0,5.0,_FIXEDLEARN_GRID5,1.571768576596035,1.571616858000879,0.00015171859515605846,0.0,0.11452344279974747,0.12540125562051563,0.13666658650044422,0.17149725463863694,0.20230141484856837,0.20058374302169152,0.2053631297548418,nan,0.0,1.1102230246251565e-16,0.06955777136333358,0.1000267594284627,0.1560676007166561,0.19332152285081505,0.19282347823279933,0.1981915788099266,nan,1.4196,1.518064299566881,1.6161590044523697,1.7125242954426267,2.0698638921623913,2.47433560883935,2.6443205105867285,2.73702503961926,nan,1.4196,1.5307992167000002,1.628709376541608,1.7249559879525855,2.0819741076929987,2.4862090307431433,2.65620937996057,2.748914722997306,nan,425.6,444.99096658913794,459.87785051009473,472.6864809165395,511.8823738929476,524.9571504822031,501.98356405806544,479.80793408042217,nan,425.6,447.78084386976184,462.1164051504559,474.680711194453,513.4780123700768,526.2362591359235,503.12333461271396,480.87052116601023,nan,0.0,0.000552076705479025,0.0012556519878854538,0.002102980028593778,0.006566981810579762,0.031230398362963138,0.037412264166495166,0.04067830451640673,nan,0.0,0.0006332068992394159,0.001358806018876601,0.0022262675009915357,0.006762993049547524,0.031697534448279004,0.037909854828343324,0.0411910126550191,nan,19.063936494384738,21.754511416906084,24.263484386504967,29.628625416378096,28.536492564834067,9.414786913123066,5.906287541907145,3.1246044658155396,nan,0.0,22.054203455578985,24.561950268412502,29.934911821040075,28.776940589300303,9.500639634027419,5.99154813979508,3.1839663099629987,nan
