sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,consumption,utility,marginal_utility,damage,climate_damage,ra,eis,pref,tech_chg,tech_scale,bs_premium,backstop_smoothing_width,backstop_smoothing_mode,cost_formulation,growth
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,0,0,2025,1.0,202.3808658078752,0.6499227060456622,0.0,425.6,0.974794332296672,7.6192673864577305,0.2431193622924537,0.0,0.0,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,1,1,2030,0.5,259.47430781593135,0.7361236590236977,0.6499227060456616,431.9482374842823,1.039071231186141,7.977757069996538,0.23833732867808408,0.0002826360828898369,0.0002734463258924332,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,2,1,2030,0.5,155.28070607359032,0.5632201523055165,0.6499227060456616,431.9482374842823,1.0583690773492032,8.194107648330107,0.2405605064323746,0.0001360706913958666,0.0001268809343984629,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,3,2,2035,0.25,331.3269761370251,0.8248822760723092,0.6934726116195818,434.2688556077774,1.1036743343045956,8.36638174473376,0.23498378619774613,0.0006721788976166207,0.0006639958913730676,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,4,2,2035,0.25,194.43143055357675,0.6364460247571202,0.6934726116195818,434.2688556077774,1.1324665636979407,8.553302857643189,0.23403087185064939,0.0003407748388318581,0.000332591832588305,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,5,2,2035,0.25,211.4377961650796,0.6647859292059397,0.6061193848763108,438.5777912303733,1.128984141759771,8.664926368622872,0.23824072920698203,0.0004477123664748815,0.00044111537043844317,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,6,2,2035,0.25,107.64759762780386,0.45349862008581293,0.6061193848763108,438.5777912303733,1.1484719653056803,8.71127491174084,0.23514290717663963,0.00019262396516922143,0.00018602696913278308,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,7,3,2040,0.125,429.1703149498194,0.9224623348140814,0.737839134680595,434.11930897264295,1.165167753067518,8.815935823544393,0.23449326552659852,0.0011416858913313008,0.001133441469212461,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,8,3,2040,0.125,247.63699546912372,0.7195976787719749,0.737839134680595,434.11930897264295,1.2081023465076084,8.915092838456136,0.22806893205118847,0.0006315251770858062,0.0006232807549669663,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,9,3,2040,0.125,268.9189853249833,0.7488743686515917,0.6742192987703244,438.8571337871109,1.2031373647916048,9.05527092010314,0.23312120870490707,0.0008017657360792321,0.0007952602400467393,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,10,3,2040,0.125,273.85110946566897,0.755387663561391,0.6259263800676482,441.66553162859975,1.2018590287796869,9.067829885201474,0.23375642886861084,0.0009391927808228694,0.0009335395436994872,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,11,3,2040,0.125,141.23119521230635,0.5336258025916475,0.6742192987703244,438.8571337871109,1.2307713636265294,9.183481920816122,0.23089162732559831,0.0003572226815803653,0.0003507171855478725,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,12,3,2040,0.125,143.65717431928653,0.5388815441738741,0.6259263800676482,441.66553162859975,1.230216794689606,9.185532680594992,0.23106459725471856,0.00042462422074179655,0.0004189709836184143,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,13,3,2040,0.125,150.5277450097811,0.5534314651013693,0.5545915713865889,446.97789721189247,1.2287366646064808,9.214021742506187,0.23217136487125248,0.0005321205592571415,0.0005277860371532522,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,14,3,2040,0.125,71.50672581234642,0.3467875804972818,0.5545915713865889,446.97789721189247,1.2431624602620508,9.246484608620829,0.23007714850194788,0.0002258104103110692,0.00022147588820717985,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,15,4,2060,0.0625,382.54838536386677,0.8786739079890209,0.8426504749288448,426.12421946508033,1.5829429964844395,10.991268376988556,0.21315169439046475,0.0020379940923718103,0.0020256979290523636,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,16,4,2060,0.0625,231.85608593950934,0.6965446109515935,0.8426504749288448,426.12421946508033,1.6307920268364915,11.157182389735127,0.20967571909548252,0.0012644241396819872,0.0012521279763625405,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,17,4,2060,0.0625,238.2640655964621,0.7060529348250214,0.7274833861046873,442.1951021573215,1.6271123578580693,11.124756867901699,0.20952397833422493,0.002358949301500204,0.0023534437885512605,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,18,4,2060,0.0625,246.47278871006688,0.7179379965393118,0.71660128502625,442.9901417574989,1.6244955082298853,11.196183428982708,0.21139696003187106,0.002468162088437806,0.002462871136505257,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,19,4,2060,0.0625,262.0916109580979,0.7396946295782573,0.699422076293405,444.72370472708826,1.619531469096058,11.335647750461199,0.21505485403356836,0.0026412889368680396,0.0026364372790245536,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,20,4,2060,0.0625,120.21498073650001,0.485231453524185,0.7274833861046873,442.1951021573215,1.6616293585985908,11.395070631754466,0.21022731989604057,0.0011992921146851345,0.001193786601736191,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,21,4,2060,0.0625,118.59569064263451,0.48126999534291454,0.71660128502625,442.9901417574989,1.6619284041312172,11.404619573040625,0.21038100147489733,0.0012605626107030786,0.0012552716587705297,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,22,4,2060,0.0625,117.55220851901318,0.47869800448155436,0.699422076293405,444.72370472708826,1.6620238418812865,11.36396861899422,0.2095345879272544,0.0013578996813565748,0.0013530480235130888,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,23,4,2060,0.0625,136.2852487989155,0.5227104049614698,0.5944038002088219,460.0420744219277,1.656089077185638,11.522884855350512,0.21364032292207571,0.002084497687809894,0.002082242113594998,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,24,4,2060,0.0625,137.48905523382814,0.5253923942286883,0.5765106733465041,461.87526042295553,1.6555398855089078,11.503338792896269,0.21331629903484353,0.002228076964843693,0.002226018942532012,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,25,4,2060,0.0625,141.69230958700072,0.5346296674004036,0.5539329743386753,464.2146155370981,1.6541474985494387,11.500041841479312,0.21344782575316837,0.002409268608524035,0.0024074377628990795,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,26,4,2060,0.0625,60.00453029004597,0.3065056226042039,0.5944038002088219,460.0420744219277,1.6753313153341243,11.532909710767104,0.2111195246386094,0.0009848760852448919,0.0009826205110299961,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,27,4,2060,0.0625,61.21559885084862,0.31092648487073254,0.5765106733465041,461.87526042295553,1.6749745335627366,11.544387011922709,0.21140300623131666,0.001062157137990499,0.0010600991156788175,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,28,4,2060,0.0625,63.37244578815941,0.31869050445954467,0.5539329743386753,464.2146155370981,1.6744009750230595,11.572450170037405,0.21205476109985308,0.0011596931207989187,0.0011578622751739634,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,29,4,2060,0.0625,67.87833771818394,0.3344776467295203,0.4366204021169856,480.5848876847117,1.6725950174440083,11.5687618737216,0.2122339964793671,0.0017134476425225845,0.0017126400798661875,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,30,4,2060,0.0625,29.055842116434693,0.1749737574177014,0.4366204021169856,480.5848876847117,1.6806240968814319,11.604816532945865,0.2118388593953945,0.0007393698263585353,0.0007385622637021384,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,31,5,2100,0.03125,163.64636113429012,0.5799328723859982,0.8572905454233604,412.43205772700423,2.9305293185917587,16.85799162614804,0.17293611872019393,0.022265512247255134,0.02224112931747265,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,32,5,2100,0.03125,93.53528890800396,0.41487548615373376,0.8572905454233604,412.43205772700423,2.9882577204974656,16.734083722942163,0.1678465860672004,0.013575824173814015,0.013551441244031532,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,33,5,2100,0.03125,107.42946924950995,0.45292693485961294,0.7832724543854965,427.10119744704264,2.960943356193748,16.991909181559805,0.1724731972040451,0.020691115872306667,0.02067940592151218,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,34,5,2100,0.03125,109.9954097333696,0.4596049394607988,0.7187739630760855,437.2432724410247,2.9409453108322983,16.991766306402894,0.17377517083065333,0.026945585516810408,0.026938533314985268,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,35,5,2100,0.03125,113.71257666766435,0.4691012382968083,0.717144530050936,437.1605334367688,2.9388762700808573,16.981200109831576,0.17379095441913567,0.027103739828313687,0.02709665839165748,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,36,5,2100,0.03125,112.31264936244933,0.46554905404293034,0.7157890066217685,436.87304484656704,2.9390798564429796,16.907218842150336,0.1729365720939935,0.027235386420775085,0.027228202458127137,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,37,5,2100,0.03125,46.55708953316538,0.25414670316256616,0.7832724543854965,427.10119744704264,3.0205220287432963,16.873903807168155,0.1673961571295415,0.008482367635160934,0.008470657684366447,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,38,5,2100,0.03125,54.042196046902966,0.28406243039593365,0.7187739630760855,437.2432724410247,3.009811800438567,17.249484058551687,0.1722195225683141,0.011246772806349871,0.011239720604524732,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,39,5,2100,0.03125,54.144792677054745,0.2844585505754007,0.717144530050936,437.1605334367688,3.009566146151955,17.367943103230253,0.17354987227737403,0.011316757205700648,0.01130967576904444,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,40,5,2100,0.03125,52.37710104386333,0.2775827663249185,0.7157890066217685,436.87304484656704,3.00994609985511,17.32414546465231,0.17303938954823844,0.0113750553512939,0.01136787138864595,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,41,5,2100,0.03125,58.1718130380917,0.29972910455216467,0.6290312101422596,455.0287754604656,2.9959501367998995,17.250710223378316,0.17311878367130512,0.01536278719221472,0.015359889052983055,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,42,5,2100,0.03125,60.44389979945758,0.30811467370447804,0.6209616866355556,456.2223539855997,2.994050409161619,17.44999193930494,0.1754659183847225,0.015739456740657035,0.015736726498988808,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,43,5,2100,0.03125,59.34073301166537,0.30406336037489856,0.6097189109742075,457.894352358753,2.9928215012332964,17.385885459766758,0.174829557548867,0.01626426243739105,0.016261751162801766,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,44,5,2100,0.03125,61.42434162790808,0.31168396827165706,0.5652673112279105,464.45841524392847,2.9855574935778324,17.354212215134908,0.17494744274243454,0.018423351960681872,0.01842154329752124,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,45,5,2100,0.03125,63.01279693996705,0.3174054380982514,0.5557359956917396,465.7748630001812,2.983596219301806,17.331300553819535,0.1748184234246737,0.018891376687779664,0.01888968324142681,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,46,5,2100,0.03125,64.22098573962103,0.3217075119185676,0.5460880314682528,466.9941781434552,2.9817422422491644,17.25707075509344,0.17410688704974578,0.01936514578882462,0.019363552500423185,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,47,5,2100,0.03125,23.410265870038966,0.14602923920235494,0.6290312101422596,455.0287754604656,3.039178204973396,17.60381635843294,0.1742645022384881,0.004235867669429993,0.004232969530198327,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,48,5,2100,0.03125,23.29964402989871,0.14544244907811282,0.6209616866355556,456.2223539855997,3.0388009953916506,17.57550443678316,0.1739771150392894,0.004366340867025133,0.004363610625356906,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,49,5,2100,0.03125,23.980128454388815,0.14903961099966556,0.6097189109742075,457.894352358753,3.0381158008341713,17.564099893894497,0.17389525065716957,0.004548136181681722,0.004545624907092442,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,50,5,2100,0.03125,26.39480228981954,0.16156976683473362,0.5652673112279105,464.45841524392847,3.0351565649321737,17.544146180051147,0.17386391647931582,0.005359414762900152,0.00535760609973952,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,51,5,2100,0.03125,26.100982583361816,0.16006418524519841,0.5557359956917396,465.7748630001812,3.0346692365739623,17.50847876777483,0.17350217254063147,0.005538944605223769,0.005537251158870914,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,52,5,2100,0.03125,27.71060002544847,0.16824909924738674,0.5460880314682528,466.9941781434552,3.033777530893324,17.597836153804778,0.17454332176473863,0.0057206880864686775,0.005719094798067242,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,53,5,2100,0.03125,28.85091634008501,0.17395603587549485,0.4774008036223112,481.87207802157303,3.0293658241732286,17.57033041280661,0.17452218644553402,0.007085702727029781,0.007084945501466803,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,54,5,2100,0.03125,29.339125108785137,0.176376724509775,0.4685761731832647,483.0484726869876,3.0286659738927644,17.550547386180064,0.1743486194974038,0.007279804017464358,0.007279090047075975,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,55,5,2100,0.03125,30.458156169390023,0.18187504630082796,0.45832947267959145,484.38644728265166,3.0277271501032823,17.552503151171916,0.1744302836114027,0.0075051883346641856,0.0075045205653305035,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,56,5,2100,0.03125,32.78495297734973,0.19309045995931853,0.3951091686685083,494.2260174885905,3.0229020230396637,17.619468836714383,0.17548056175869509,0.008909500683638287,0.008909092399008082,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,57,5,2100,0.03125,12.266004306781854,0.08255101583553436,0.4774008036223112,481.87207802157303,3.0465026958071366,17.63432117394298,0.17413370363215586,0.002401591089527886,0.0024008338639649076,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,58,5,2100,0.03125,12.258681686477694,0.0825061151826198,0.4685761731832647,483.0484726869876,3.0462687344377186,17.625967610117463,0.17405690378761202,0.0024784802692534966,0.002477766298865114,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,59,5,2100,0.03125,12.36261824104509,0.0831429981865838,0.45832947267959145,484.38644728265166,3.045984035560099,17.625995768801157,0.17407528906688732,0.0025677639982038796,0.0025670962288701976,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,60,5,2100,0.03125,12.841060886941328,0.08606277413410746,0.3951091686685083,494.2260174885905,3.0442251318452804,17.62996598056342,0.17423064105126918,0.0031252384263958195,0.0031248301417656135,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,61,5,2100,0.03125,14.962362360668454,0.09877795453121839,0.3302861358450222,507.07285144811425,3.041962442772271,17.67035480023336,0.17481856492757625,0.0037774348730890968,0.003777220091198739,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,62,5,2100,0.03125,5.0998326915823595,0.0362375505715237,0.3302861358450222,507.07285144811425,3.0503142009118367,17.681731049723233,0.17441148755007307,0.001354484392159374,0.0013542696102690163,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,63,6,2150,0.015625,123.15741592841921,0.49233904602514544,0.8193090657825752,399.72899899259914,6.104932911617386,26.47764201714566,0.12635583898486888,0.03866787933079643,0.03862186216068639,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,64,6,2150,0.015625,81.20545442953876,0.37808197943020627,0.8193090657825752,399.72899899259914,6.216884889544464,26.675106619873944,0.1248567142577556,0.02678660918126133,0.026740592011151292,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,65,6,2150,0.015625,80.31765452178776,0.3753089273297831,0.7967060359615923,404.85846476276976,6.196200890650141,26.249657446172165,0.12310103195719942,0.030134771943562753,0.03009916460657251,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,66,6,2150,0.015625,79.72897469788323,0.3734604094387089,0.7380347961412023,414.50909284136196,6.14101255532308,26.09855952514296,0.1235359192800976,0.03884530604624432,0.038823328222401546,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,67,6,2150,0.015625,97.47204344786637,0.4259982036071159,0.6832832449496751,422.89489897286256,6.074430565398606,26.96256534605735,0.12964925145606235,0.04702033389437323,0.047005883074401504,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
tech_grid_000,15,3,technology_grid,fixed_learning_grid,default,0|5|10|15|35|75|125|175|225,optimal,68,6,2150,0.015625,93.834898708905,0.4157320347426569,0.683177374454979,422.6932537544459,6.077360740785804,26.69894581898205,0.1281728613802197,0.04703648394997223,0.04702188669824866,7.0,0.9,0.005,0.0,0.0,10000.0,0.0,one_sided_huber,additive_removal_premium_v1,0.015
