delay_year,source_delay_year,scenario,panel_title,node,period,calendar_year,price
0,5,optimal,Unconstrained baseline,0,0,2025,204.09310913665863
0,5,optimal,Unconstrained baseline,1,1,2030,267.7421087945362
0,5,optimal,Unconstrained baseline,2,1,2030,152.83139994457434
0,5,optimal,Unconstrained baseline,3,2,2035,346.83237676958737
0,5,optimal,Unconstrained baseline,4,2,2035,193.73138164934355
0,5,optimal,Unconstrained baseline,5,2,2035,206.72153109437775
0,5,optimal,Unconstrained baseline,6,2,2035,104.32643776987604
0,5,optimal,Unconstrained baseline,7,3,2040,401.3264950917473
0,5,optimal,Unconstrained baseline,8,3,2040,244.05310982436663
0,5,optimal,Unconstrained baseline,9,3,2040,255.8951495475341
0,5,optimal,Unconstrained baseline,10,3,2040,259.16563357412593
0,5,optimal,Unconstrained baseline,11,3,2040,130.03135038767752
0,5,optimal,Unconstrained baseline,12,3,2040,132.07711722632345
0,5,optimal,Unconstrained baseline,13,3,2040,138.91806197317788
0,5,optimal,Unconstrained baseline,14,3,2040,67.62527937938225
0,5,optimal,Unconstrained baseline,15,4,2060,220.70211986217456
0,5,optimal,Unconstrained baseline,16,4,2060,206.499530695184
0,5,optimal,Unconstrained baseline,17,4,2060,218.66608629063631
0,5,optimal,Unconstrained baseline,18,4,2060,219.7652539128877
0,5,optimal,Unconstrained baseline,19,4,2060,229.70761308383737
0,5,optimal,Unconstrained baseline,20,4,2060,101.75674307332083
0,5,optimal,Unconstrained baseline,21,4,2060,101.4778953027818
0,5,optimal,Unconstrained baseline,22,4,2060,101.03735919962004
0,5,optimal,Unconstrained baseline,23,4,2060,117.32259707773775
0,5,optimal,Unconstrained baseline,24,4,2060,118.49729243120966
0,5,optimal,Unconstrained baseline,25,4,2060,121.97176440714722
0,5,optimal,Unconstrained baseline,26,4,2060,51.0813690065204
0,5,optimal,Unconstrained baseline,27,4,2060,51.706161480820526
0,5,optimal,Unconstrained baseline,28,4,2060,53.169970785689266
0,5,optimal,Unconstrained baseline,29,4,2060,59.70372859784098
0,5,optimal,Unconstrained baseline,30,4,2060,26.81090885446114
0,5,optimal,Unconstrained baseline,31,5,2100,66.50502426776593
0,5,optimal,Unconstrained baseline,32,5,2100,66.50502426776593
0,5,optimal,Unconstrained baseline,33,5,2100,67.26898040813371
0,5,optimal,Unconstrained baseline,34,5,2100,71.98133398701279
0,5,optimal,Unconstrained baseline,35,5,2100,73.13251270506431
0,5,optimal,Unconstrained baseline,36,5,2100,73.82503033841637
0,5,optimal,Unconstrained baseline,37,5,2100,36.19284397122039
0,5,optimal,Unconstrained baseline,38,5,2100,42.291995357311954
0,5,optimal,Unconstrained baseline,39,5,2100,42.81281495638512
0,5,optimal,Unconstrained baseline,40,5,2100,41.80003025612429
0,5,optimal,Unconstrained baseline,41,5,2100,48.213350849255974
0,5,optimal,Unconstrained baseline,42,5,2100,49.630374519560974
0,5,optimal,Unconstrained baseline,43,5,2100,49.13422512673611
0,5,optimal,Unconstrained baseline,44,5,2100,52.0532339194581
0,5,optimal,Unconstrained baseline,45,5,2100,53.308724086564794
0,5,optimal,Unconstrained baseline,46,5,2100,54.83958161150023
0,5,optimal,Unconstrained baseline,47,5,2100,16.693372119039854
0,5,optimal,Unconstrained baseline,48,5,2100,17.670715640543463
0,5,optimal,Unconstrained baseline,49,5,2100,18.564500875997947
0,5,optimal,Unconstrained baseline,50,5,2100,19.957362360839433
0,5,optimal,Unconstrained baseline,51,5,2100,19.80460021699013
0,5,optimal,Unconstrained baseline,52,5,2100,20.266620951725592
0,5,optimal,Unconstrained baseline,53,5,2100,24.455845138922303
0,5,optimal,Unconstrained baseline,54,5,2100,24.39266662171304
0,5,optimal,Unconstrained baseline,55,5,2100,24.420827488205862
0,5,optimal,Unconstrained baseline,56,5,2100,27.62098816538326
0,5,optimal,Unconstrained baseline,57,5,2100,9.435819025702436
0,5,optimal,Unconstrained baseline,58,5,2100,9.696145891351035
0,5,optimal,Unconstrained baseline,59,5,2100,10.466399091004458
0,5,optimal,Unconstrained baseline,60,5,2100,11.332509626965482
0,5,optimal,Unconstrained baseline,61,5,2100,13.403054304452908
0,5,optimal,Unconstrained baseline,62,5,2100,4.463976533873721
5,5,delayed,5-year delay,0,0,2025,0.0
5,5,delayed,5-year delay,1,1,2030,278.48032029913094
5,5,delayed,5-year delay,2,1,2030,162.25690611549848
5,5,delayed,5-year delay,3,2,2035,357.25007321804964
5,5,delayed,5-year delay,4,2,2035,203.7669631499661
5,5,delayed,5-year delay,5,2,2035,219.0354126439811
5,5,delayed,5-year delay,6,2,2035,110.57040332128682
5,5,delayed,5-year delay,7,3,2040,413.87101323357297
5,5,delayed,5-year delay,8,3,2040,250.98470193528772
5,5,delayed,5-year delay,9,3,2040,268.22023841104385
5,5,delayed,5-year delay,10,3,2040,272.40075320751
5,5,delayed,5-year delay,11,3,2040,137.36000456776486
5,5,delayed,5-year delay,12,3,2040,139.64586017343308
5,5,delayed,5-year delay,13,3,2040,147.18528879833522
5,5,delayed,5-year delay,14,3,2040,70.67106635285316
5,5,delayed,5-year delay,15,4,2060,229.7176842012553
5,5,delayed,5-year delay,16,4,2060,214.1982420486521
5,5,delayed,5-year delay,17,4,2060,222.46748372203027
5,5,delayed,5-year delay,18,4,2060,226.97466270918449
5,5,delayed,5-year delay,19,4,2060,238.456095424477
5,5,delayed,5-year delay,20,4,2060,107.89070434799926
5,5,delayed,5-year delay,21,4,2060,107.370716502939
5,5,delayed,5-year delay,22,4,2060,107.53319487569294
5,5,delayed,5-year delay,23,4,2060,123.2936548963824
5,5,delayed,5-year delay,24,4,2060,123.83256486058464
5,5,delayed,5-year delay,25,4,2060,128.2416992531623
5,5,delayed,5-year delay,26,4,2060,53.40415780957653
5,5,delayed,5-year delay,27,4,2060,54.99533980446806
5,5,delayed,5-year delay,28,4,2060,57.9116584947988
5,5,delayed,5-year delay,29,4,2060,62.64128008834012
5,5,delayed,5-year delay,30,4,2060,27.06886173567614
5,5,delayed,5-year delay,31,5,2100,70.30078727036796
5,5,delayed,5-year delay,32,5,2100,70.30078727036796
5,5,delayed,5-year delay,33,5,2100,71.14944607512633
5,5,delayed,5-year delay,34,5,2100,76.41263017998578
5,5,delayed,5-year delay,35,5,2100,77.15048745633047
5,5,delayed,5-year delay,36,5,2100,77.71266166169978
5,5,delayed,5-year delay,37,5,2100,38.88316030007627
5,5,delayed,5-year delay,38,5,2100,43.44157811743741
5,5,delayed,5-year delay,39,5,2100,45.35576171755293
5,5,delayed,5-year delay,40,5,2100,44.64366103040082
5,5,delayed,5-year delay,41,5,2100,49.09716629333682
5,5,delayed,5-year delay,42,5,2100,50.64155789889213
5,5,delayed,5-year delay,43,5,2100,51.41122186931421
5,5,delayed,5-year delay,44,5,2100,55.34967807129442
5,5,delayed,5-year delay,45,5,2100,55.232468956917664
5,5,delayed,5-year delay,46,5,2100,55.5160871969756
5,5,delayed,5-year delay,47,5,2100,19.928251640029256
5,5,delayed,5-year delay,48,5,2100,19.93237595694915
5,5,delayed,5-year delay,49,5,2100,19.942187379116824
5,5,delayed,5-year delay,50,5,2100,20.899472454022792
5,5,delayed,5-year delay,51,5,2100,21.66346792075051
5,5,delayed,5-year delay,52,5,2100,22.707155294456808
5,5,delayed,5-year delay,53,5,2100,24.696637660209312
5,5,delayed,5-year delay,54,5,2100,25.471408502606916
5,5,delayed,5-year delay,55,5,2100,25.941754945484597
5,5,delayed,5-year delay,56,5,2100,29.599742025426018
5,5,delayed,5-year delay,57,5,2100,11.191998603962546
5,5,delayed,5-year delay,58,5,2100,11.193045277531146
5,5,delayed,5-year delay,59,5,2100,11.289817734940224
5,5,delayed,5-year delay,60,5,2100,11.69485049527967
5,5,delayed,5-year delay,61,5,2100,13.434721269679786
5,5,delayed,5-year delay,62,5,2100,4.614339951903197
10,10,delayed,10-year delay,0,0,2025,0.0
10,10,delayed,10-year delay,1,1,2030,0.0
10,10,delayed,10-year delay,2,1,2030,0.0
10,10,delayed,10-year delay,3,2,2035,374.53270445374153
10,10,delayed,10-year delay,4,2,2035,217.31682449717343
10,10,delayed,10-year delay,5,2,2035,230.11185576070264
10,10,delayed,10-year delay,6,2,2035,117.54112835466093
10,10,delayed,10-year delay,7,3,2040,430.2045921697128
10,10,delayed,10-year delay,8,3,2040,266.12398593845785
10,10,delayed,10-year delay,9,3,2040,283.3830807557364
10,10,delayed,10-year delay,10,3,2040,283.7226174792811
10,10,delayed,10-year delay,11,3,2040,148.35754759570742
10,10,delayed,10-year delay,12,3,2040,148.2824008975692
