delay_year,parameter,spearman_corr_with_dwl,n
5,RA,0.06009621156475965,2041
5,EIS,0.6510275415440772,2041
5,tech_chg,-0.027883507889470048,2041
5,tech_scale,-0.004834127604146503,2041
5,PRTP,-0.6295695031071241,2041
5,bs_premium,0.006654793888323932,2041
5,growth,-0.06223809634715532,2041
10,RA,0.06442196758523942,2045
10,EIS,0.6488511068214227,2045
10,tech_chg,-0.028453158195470125,2045
10,tech_scale,0.007154549341860835,2045
10,PRTP,-0.6309765581100061,2045
10,bs_premium,0.004929907007682699,2045
10,growth,-0.06294185507784521,2045
15,RA,0.0675792409115927,2043
15,EIS,0.6342285277083083,2043
15,tech_chg,-0.03577913353577443,2043
15,tech_scale,0.016257106186231184,2043
15,PRTP,-0.6192111729415215,2043
15,bs_premium,-0.0016537641629930512,2043
15,growth,-0.07466000983112518,2043
