path_label,delay_year,source_delay_year,scenario,calendar_year,price
5-year delayed,5,5,delayed,2025,0.0
5-year delayed,5,5,delayed,2030,220.3686132073147
5-year delayed,5,5,delayed,2035,222.6557130833209
5-year delayed,5,5,delayed,2040,212.5423658349751
5-year delayed,5,5,delayed,2060,130.3748750484512
5-year delayed,5,5,delayed,2100,38.33751151495079
5-year delayed,5,5,delayed,2150,14.600990787965072
5-year delayed,5,5,delayed,2200,5.066225599930261
10-year delayed,10,10,delayed,2025,0.0
10-year delayed,10,10,delayed,2030,0.0
10-year delayed,10,10,delayed,2035,234.87562826656963
10-year delayed,10,10,delayed,2040,223.87983147225705
10-year delayed,10,10,delayed,2060,136.86364404308767
10-year delayed,10,10,delayed,2100,40.87729929893061
10-year delayed,10,10,delayed,2150,15.943835585835
10-year delayed,10,10,delayed,2200,5.648849729912207
15-year delayed,15,15,delayed,2025,0.0
15-year delayed,15,15,delayed,2030,0.0
15-year delayed,15,15,delayed,2035,0.0
15-year delayed,15,15,delayed,2040,235.05233095697133
15-year delayed,15,15,delayed,2060,143.41293306122446
15-year delayed,15,15,delayed,2100,43.54811181393218
15-year delayed,15,15,delayed,2150,17.460972166939726
15-year delayed,15,15,delayed,2200,6.350761485655673
Unconstrained baseline,0,5,optimal,2025,204.09310913665863
Unconstrained baseline,0,5,optimal,2030,210.28675436955527
Unconstrained baseline,0,5,optimal,2035,212.90293182079617
Unconstrained baseline,0,5,optimal,2040,203.63652462554188
Unconstrained baseline,0,5,optimal,2060,124.99227462886685
Unconstrained baseline,0,5,optimal,2100,36.31689014628087
Unconstrained baseline,0,5,optimal,2150,13.537776879702951
Unconstrained baseline,0,5,optimal,2200,4.618653012828158
