grid_index,label
0,RA3_EIS0.55_PRTP0.001
1,RA3_EIS0.55_PRTP0.002
2,RA3_EIS0.55_PRTP0.024
3,RA3_EIS0.833_PRTP0.001
4,RA3_EIS0.833_PRTP0.002
5,RA3_EIS0.833_PRTP0.024
6,RA3_EIS1.86_PRTP0.001
7,RA3_EIS1.86_PRTP0.002
8,RA3_EIS1.86_PRTP0.024
9,RA10_EIS0.55_PRTP0.001
10,RA10_EIS0.55_PRTP0.002
11,RA10_EIS0.55_PRTP0.024
12,RA10_EIS0.833_PRTP0.001
13,RA10_EIS0.833_PRTP0.002
14,RA10_EIS0.833_PRTP0.024
15,RA10_EIS1.86_PRTP0.001
16,RA10_EIS1.86_PRTP0.002
17,RA10_EIS1.86_PRTP0.024
18,RA15_EIS0.55_PRTP0.001
19,RA15_EIS0.55_PRTP0.002
20,RA15_EIS0.55_PRTP0.024
21,RA15_EIS0.833_PRTP0.001
22,RA15_EIS0.833_PRTP0.002
23,RA15_EIS0.833_PRTP0.024
24,RA15_EIS1.86_PRTP0.001
25,RA15_EIS1.86_PRTP0.002
26,RA15_EIS1.86_PRTP0.024
