sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,0,0,2025,1.0,261.9094156280262,0.996770605259348,0.0,425.6,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,1,1,2030,0.5,263.37290935204584,0.9989068493120233,0.9967700046362588,423.4987615498925,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,2,1,2030,0.5,180.21544792986555,0.8563024551432847,0.9967700046362588,423.4987615498925,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,3,2,2060,0.25,167.51816664441859,0.9989920088379702,0.9984503976686285,407.9464372560646,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,4,2,2060,0.25,125.32276558097911,0.8893571445673119,0.9984503976686285,407.9464372560646,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,5,2,2060,0.25,150.24017806927915,0.9381046090760778,0.8863190229425332,422.5087712937953,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,6,2,2060,0.25,58.83777168078422,0.6074113826708595,0.8863190229425332,422.5087712937953,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,7,3,2100,0.125,90.47938751603564,0.9943403210221726,0.9986671297484119,388.8661858248311,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,8,3,2100,0.125,53.89456745638642,0.8015417555816513,0.9986671297484119,388.8661858248311,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,9,3,2100,0.125,64.80847034226683,0.8529803989668241,0.9584439292179537,396.81211412622736,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,10,3,2100,0.125,71.82576027635288,0.8695339618264757,0.9041320459278755,404.6770965605619,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,11,3,2100,0.125,21.910517171482667,0.49199584109876016,0.9584439292179537,396.81211412622736,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,12,3,2100,0.125,25.486227417340963,0.5195463007754784,0.9041320459278755,404.6770965605619,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,13,3,2100,0.125,28.75086843148869,0.517006797241224,0.7828062801769878,428.6445152843838,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,14,3,2100,0.125,9.099893358561353,0.23854399881874166,0.7828062801769878,428.6445152843838,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,15,4,2150,0.0625,42.98470409668038,0.9979334642325741,0.9981128367729953,367.67072381290427,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,16,4,2150,0.0625,41.36145076553976,0.9832023598445175,0.9981128367729953,367.67072381290427,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
tech_grid_001,5,4,technology_grid,same_grid,default,0|5|35|75|125|175|225,optimal,17,4,2150,0.0625,44.49284423275553,0.9937726822753183,0.9732950260581712,373.3086992437219,10.0,0.833,0.002,0.0,1.5,10000.0,0.015
