sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,0,0,2025,1.0,227.15670040619108,0.9141628492748948,0.0,425.6,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,1,1,2035,0.5,224.2569304376046,0.9931148045264888,0.9141629882284387,424.57345490748247,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,2,1,2035,0.5,119.6000787823738,0.7609869024334194,0.9141629882284387,424.57345490748247,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,3,2,2060,0.25,106.5656645382278,0.9960808098199502,0.9647712266650589,411.8116588147358,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,4,2,2060,0.25,83.48529291438476,0.903704480463902,0.9647712266650589,411.8116588147358,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,5,2,2060,0.25,103.23768434094004,0.9577051471170374,0.815976812502149,431.7570360210255,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,6,2,2060,0.25,37.39517593861887,0.5989747505736802,0.815976812502149,431.7570360210255,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,7,3,2100,0.125,31.889651250633204,0.9975158730923095,0.9773783627297377,392.17706772682294,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,8,3,2100,0.125,30.742369327119096,0.9834949565825757,0.9773783627297377,392.17706772682294,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,9,3,2100,0.125,32.28230537337366,0.9881631171189245,0.9434869869388864,398.8721615159477,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,10,3,2100,0.125,36.04937556605694,0.9982730218250918,0.8658012948446103,410.53010613875074,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,11,3,2100,0.125,16.151176034944278,0.7340206823589116,0.9434869869388864,398.8721615159477,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,12,3,2100,0.125,18.17866674722769,0.7460115294670018,0.8658012948446103,410.53010613875074,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,13,3,2100,0.125,21.395589954286468,0.7533585641566444,0.7341891854304987,436.52955458389005,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,14,3,2100,0.125,6.417178591384286,0.3840648073465369,0.7341891854304987,436.52955458389005,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,15,4,2150,0.0625,7.060837756102438,0.998607875080343,0.9801241543271864,370.4399101862146,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,16,4,2150,0.0625,6.968341238774187,0.9935547312226017,0.9801241543271864,370.4399101862146,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,17,4,2150,0.0625,7.0314551090388395,0.9957261440341318,0.9783193786022035,370.8499214424627,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,18,4,2150,0.0625,7.326742897270122,0.9905933067717662,0.9489109700687487,375.77430123535777,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,19,4,2150,0.0625,8.372276178186308,0.9953306385545587,0.8836087106131935,385.56913276931147,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,20,4,2150,0.0625,6.043967532936083,0.9381749620303634,0.9783193786022035,370.8499214424627,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,21,4,2150,0.0625,6.318110572456435,0.9343354036711409,0.9489109700687487,375.77430123535777,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,22,4,2150,0.0625,8.469133497765862,0.9997400200690523,0.8836087106131935,385.56913276931147,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,23,4,2150,0.0625,7.816879244401589,0.9921667710260038,0.9161968002418875,383.20614496277864,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,24,4,2150,0.0625,8.917646172423582,0.996469482397458,0.8511365856340332,392.9459724320438,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,25,4,2150,0.0625,11.022269043865684,0.9957300430771576,0.7355457258534441,412.3843738703209,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,26,4,2150,0.0625,4.400461230076874,0.7792890154335104,0.9161968002418875,383.20614496277864,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,27,4,2150,0.0625,2.9160691738288547,0.5987663762889681,0.8511365856340332,392.9459724320438,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,28,4,2150,0.0625,5.764018147442423,0.7564637941325361,0.7355457258534441,412.3843738703209,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,29,4,2150,0.0625,5.9403146513200635,0.7362241271700979,0.6880087166054827,423.18356815378746,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,30,4,2150,0.0625,1.3419352954662953,0.30587830313486186,0.6880087166054827,423.18356815378746,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,31,5,2200,0.03125,1.3460093755024962,0.9429700219383285,0.9815220479853811,351.4307310478816,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,32,5,2200,0.03125,1.5462901808788763,0.9957573926919701,0.9815220479853811,351.4307310478816,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,33,5,2200,0.03125,1.454291780900769,0.9719649227644453,0.9811639259379736,351.51775428993705,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,34,5,2200,0.03125,1.525804872944684,0.9886967441512948,0.9795790358413451,351.7964081716304,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,35,5,2200,0.03125,1.6369028138743829,0.9879269775001148,0.9520634622957772,356.2322649860675,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,36,5,2200,0.03125,1.9673477273299493,0.9980550856215067,0.8921061740743496,365.258007933557,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,37,5,2200,0.03125,1.5109031362498528,0.986536502093562,0.9811639259379736,351.51775428993705,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,38,5,2200,0.03125,1.1061317699516566,0.8677553874882317,0.9795790358413451,351.7964081716304,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
tech_grid_004,10,14,technology_grid,same_grid,default,0|10|35|75|125|175|225,optimal,39,5,2200,0.03125,1.6790477536078716,0.997660408068466,0.9520634622957772,356.2322649860675,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
