sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times,scenario,node,period,calendar_year,node_probability,price,mitigation,average_mitigation,ghg_level,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,0,0,2025,1.0,232.4180088418454,0.922751579708451,0.0,425.6,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,1,1,2030,0.5,226.5551675141603,0.9415905450290232,0.9227519719262843,425.3019207211223,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,2,1,2030,0.5,129.61226946696758,0.7380544688771741,0.9227519719262843,425.3019207211223,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,3,2,2060,0.25,108.9540696330556,0.9997432509191124,0.9375647913305774,415.58724851224395,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,4,2,2060,0.25,81.47107470645052,0.8899071365176854,0.9375647913305774,415.58724851224395,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,5,2,2060,0.25,112.54683994203039,0.983803727831193,0.7775223462838932,436.3717438626518,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,6,2,2060,0.25,42.1837907618024,0.6323036009270279,0.7775223462838932,436.3717438626518,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,7,3,2100,0.125,32.56798775224578,0.9985992755228975,0.9605361908720518,394.8469688425173,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,8,3,2100,0.125,32.012650211327625,0.9920099108041467,0.9605361908720518,394.8469688425173,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,9,3,2100,0.125,33.42583141068107,0.9918634736154299,0.9202391038943664,402.80748295572675,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,10,3,2100,0.125,35.99586684899714,0.991845556082594,0.8516437889222177,412.270343591571,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,11,3,2100,0.125,16.275791477447108,0.7279448010786536,0.9202391038943664,402.80748295572675,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,12,3,2100,0.125,16.423485884677646,0.7054545442723535,0.8516437889222177,412.270343591571,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,13,3,2100,0.125,21.81957502489705,0.7559019930195644,0.7226842779751868,437.7457691071105,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,14,3,2100,0.125,6.267358697295916,0.37503463011326676,0.7226842779751868,437.7457691071105,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,15,4,2150,0.0625,7.18065488983765,0.9948438007418468,0.9657578903092047,372.648738408621,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,16,4,2150,0.0625,7.101590668804609,0.9906045751416359,0.9657578903092047,372.648738408621,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,17,4,2150,0.0625,7.203975022038282,0.9954833383330071,0.9649097217873885,372.84143007470374,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,18,4,2150,0.0625,7.283520743163716,0.9743854411654604,0.9292096847771047,378.86314650809027,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,19,4,2150,0.0625,8.043293417924307,0.9709418926158356,0.8707769348607093,387.4364380809644,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,20,4,2150,0.0625,6.008352309890653,0.9265801728133677,0.9649097217873885,372.84143007470374,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,21,4,2150,0.0625,7.00951999363346,0.959800954972812,0.9292096847771047,378.86314650809027,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,22,4,2150,0.0625,7.837956528344194,0.9611087017956733,0.8707769348607093,387.4364380809644,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,23,4,2150,0.0625,7.760623416432382,0.9745727973107593,0.8952369788514661,386.5808750738643,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,24,4,2150,0.0625,8.898262083470398,0.9834366731042261,0.8339115866478539,395.8113214569942,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,25,4,2150,0.0625,10.378821735594265,0.9661884683556147,0.7262175715256363,413.5932305904115,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,26,4,2150,0.0625,1.3841395274548802,0.4050994557227411,0.8952369788514661,386.5808750738643,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,27,4,2150,0.0625,4.539052211705517,0.7364708233777946,0.8339115866478539,395.8113214569942,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,28,4,2150,0.0625,5.946891553163387,0.7614034998694341,0.7262175715256363,413.5932305904115,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,29,4,2150,0.0625,7.53037301134894,0.8134226577473704,0.6771907442749425,424.73086909539154,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,30,4,2150,0.0625,1.6636792719952012,0.3503457868372626,0.6771907442749425,424.73086909539154,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,31,5,2200,0.03125,1.5129208516097363,0.9738283918966057,0.9679852738897976,353.52218617440394,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,32,5,2200,0.03125,1.2832842112266054,0.9116443798026397,0.9679852738897976,353.52218617440394,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,33,5,2200,0.03125,1.456191077871191,0.9589947924310918,0.9676848821035299,353.59519243907914,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,34,5,2200,0.03125,1.4648700977522129,0.9607803737685341,0.9672134681576421,353.6597048827937,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,35,5,2200,0.03125,1.6452355363984004,0.9704868152740949,0.9327281620615377,359.32062228791114,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,36,5,2200,0.03125,1.996136059971745,0.9899314396310841,0.878487889635965,367.42971836035554,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,37,5,2200,0.03125,1.6020685791885594,0.9954030673837351,0.9676848821035299,353.59519243907914,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,38,5,2200,0.03125,1.4456602085998975,0.9557715671458502,0.9672134681576421,353.6597048827937,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,39,5,2200,0.03125,1.36386482458055,0.8997950383534363,0.9327281620615377,359.32062228791114,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,40,5,2200,0.03125,1.056566537483754,0.75538882067113,0.878487889635965,367.42971836035554,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,41,5,2200,0.03125,1.496124488022409,0.9639265496603152,0.962330699503336,354.8463279146434,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,42,5,2200,0.03125,1.456759314608813,0.9234424899077998,0.9316946258708467,359.5717905344892,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,43,5,2200,0.03125,1.3446199835360415,0.8412990679025659,0.8777910883752127,367.59906167925215,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,44,5,2200,0.03125,1.8633431060946737,0.9852077897294773,0.9000123034253948,365.2664546249516,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,45,5,2200,0.03125,1.9100635864835571,0.9386572121919999,0.8438572857453079,373.6701519438464,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
0,5,1,tree_robustness,same_grid,default,0|5|35|75|125|175|225,optimal,46,5,2200,0.03125,2.6418801510366694,0.9617644219784605,0.743373129863337,389.7729148699123,10.0,0.833,0.002,1.5,1.5,10000.0,0.015
