run,name,RA,EIS,preference,growth,tech_change,tech_scale,dam_func,baseline_num,tip_on,bs_premium,d_unc,t_unc,no_free_lunch
0,damage0,10,0.833,0.002,0.015,1.5,1.5,0,2,1,10000,1,1,0
1,damage1,10,0.833,0.002,0.015,1.5,0,1,2,1,10000,1,1,0
2,damage2,10,0.833,0.002,0.015,1.5,0,2,2,1,10000,1,1,0
3,damage3,10,0.833,0.002,0.015,1.5,0,3,2,1,10000,1,1,0
4,eis1p071,10,1.071,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
5,eis0p704,10,0.704,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
6,eis0p649,10,0.649,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
7,pref0p001,10,0.833,0.001,0.015,1.5,0,0,2,1,10000,1,1,0
8,pref0p005,10,0.833,0.005,0.015,1.5,0,0,2,1,10000,1,1,0
9,pref0p008,10,0.833,0.008,0.015,1.5,0,0,2,1,10000,1,1,0
10,ssp1,10,0.833,0.002,0.015,1.5,0,0,1,1,10000,1,1,0
11,ssp2,10,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
12,ssp3,10,0.833,0.002,0.015,1.5,0,0,3,1,10000,1,1,0
13,ssp4,10,0.833,0.002,0.015,1.5,0,0,4,1,10000,1,1,0
14,ssp5,10,0.833,0.002,0.015,1.5,0,0,5,1,10000,1,1,0
15,ra-15,15,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
16,ra-10,10,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
17,ra-3,3,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
18,joint-0,10,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
19,joint-1,10,1.071,0.001,0.015,1.5,0,0,2,1,10000,1,1,0
20,joint-2,10,0.704,0.005,0.015,1.5,0,0,2,1,10000,1,1,0
21,joint-3,10,0.649,0.008,0.015,1.5,0,0,2,1,10000,1,1,0
